81.1780 	EXP 	New trial (rep=1, index=1): OrderedDict([('cue_image', 'images/circle'), ('image_text', 'No'), ('stop_voice_flag', 1), ('corr_resp', 'None')])
81.1787 	WARNING 	Requested image 'images/circle' not found but similar filename 'images/circle.png' exists. This will be used instead but changing the filename is advised.
81.2118 	EXP 	plus_image: autoDraw = False
81.2118 	EXP 	image: image = 'images/circle'
81.2118 	EXP 	text: height = 0.05
81.2118 	EXP 	text: height = 0.05
81.2118 	EXP 	text: height = 0.05
81.2118 	EXP 	text: text = 'هیچ'
81.2118 	EXP 	image: autoDraw = True
81.2118 	EXP 	text: autoDraw = True
82.2294 	EXP 	image: autoDraw = False
82.2294 	EXP 	text: autoDraw = False
83.2466 	EXP 	image: autoDraw = False
83.2466 	EXP 	text: autoDraw = False
83.2466 	EXP 	feedback_text_component: foreColor = 'green'
83.2466 	EXP 	feedback_text_component: height = 0.05
83.2466 	EXP 	feedback_text_component: height = 0.05
83.2466 	EXP 	feedback_text_component: height = 0.05
83.2466 	EXP 	feedback_text_component: text = 'درست'
83.2466 	EXP 	feedback_text_component: autoDraw = True
84.2427 	EXP 	feedback_text_component: autoDraw = False
84.2427 	EXP 	plus_image: autoDraw = True
85.2443 	EXP 	New trial (rep=1, index=2): OrderedDict([('cue_image', 'images/square'), ('image_text', 'left'), ('stop_voice_flag', 0), ('corr_resp', 'left')])
85.2452 	WARNING 	Requested image 'images/square' not found but similar filename 'images/square.png' exists. This will be used instead but changing the filename is advised.
85.2895 	EXP 	plus_image: autoDraw = False
85.2895 	EXP 	image: image = 'images/square'
85.2895 	EXP 	text: height = 0.05
85.2895 	EXP 	text: height = 0.05
85.2895 	EXP 	text: height = 0.05
85.2895 	EXP 	text: text = 'چپ'
85.2895 	EXP 	image: autoDraw = True
85.2895 	EXP 	text: autoDraw = True
86.0036 	DATA 	Keypress: left
86.0114 	EXP 	image: autoDraw = False
86.0114 	EXP 	text: autoDraw = False
86.0114 	EXP 	feedback_text_component: foreColor = 'green'
86.0114 	EXP 	feedback_text_component: height = 0.05
86.0114 	EXP 	feedback_text_component: height = 0.05
86.0114 	EXP 	feedback_text_component: height = 0.05
86.0114 	EXP 	feedback_text_component: text = 'درست'
86.0114 	EXP 	feedback_text_component: autoDraw = True
87.0067 	EXP 	feedback_text_component: autoDraw = False
87.0067 	EXP 	plus_image: autoDraw = True
88.0080 	EXP 	New trial (rep=1, index=3): OrderedDict([('cue_image', 'images/square'), ('image_text', 'left'), ('stop_voice_flag', 0), ('corr_resp', 'left')])
88.0087 	WARNING 	Requested image 'images/square' not found but similar filename 'images/square.png' exists. This will be used instead but changing the filename is advised.
88.0439 	EXP 	plus_image: autoDraw = False
88.0439 	EXP 	image: image = 'images/square'
88.0439 	EXP 	text: height = 0.05
88.0439 	EXP 	text: height = 0.05
88.0439 	EXP 	text: height = 0.05
88.0439 	EXP 	text: text = 'چپ'
88.0439 	EXP 	image: autoDraw = True
88.0439 	EXP 	text: autoDraw = True
88.8450 	DATA 	Keypress: left
88.8516 	EXP 	image: autoDraw = False
88.8516 	EXP 	text: autoDraw = False
88.8516 	EXP 	feedback_text_component: foreColor = 'green'
88.8516 	EXP 	feedback_text_component: height = 0.05
88.8516 	EXP 	feedback_text_component: height = 0.05
88.8516 	EXP 	feedback_text_component: height = 0.05
88.8516 	EXP 	feedback_text_component: text = 'درست'
88.8516 	EXP 	feedback_text_component: autoDraw = True
89.8543 	EXP 	feedback_text_component: autoDraw = False
89.8543 	EXP 	plus_image: autoDraw = True
90.8408 	EXP 	New trial (rep=1, index=4): OrderedDict([('cue_image', 'images/circle'), ('image_text', 'right'), ('stop_voice_flag', 0), ('corr_resp', 'right')])
90.8414 	WARNING 	Requested image 'images/circle' not found but similar filename 'images/circle.png' exists. This will be used instead but changing the filename is advised.
90.8859 	EXP 	plus_image: autoDraw = False
90.8859 	EXP 	image: image = 'images/circle'
90.8859 	EXP 	text: height = 0.05
90.8859 	EXP 	text: height = 0.05
90.8859 	EXP 	text: height = 0.05
90.8859 	EXP 	text: text = 'راست'
90.8859 	EXP 	image: autoDraw = True
90.8859 	EXP 	text: autoDraw = True
91.8856 	EXP 	image: autoDraw = False
91.8856 	EXP 	text: autoDraw = False
91.9256 	DATA 	Keypress: right
91.9323 	EXP 	image: autoDraw = False
91.9323 	EXP 	text: autoDraw = False
91.9323 	EXP 	feedback_text_component: foreColor = 'green'
91.9323 	EXP 	feedback_text_component: height = 0.05
91.9323 	EXP 	feedback_text_component: height = 0.05
91.9323 	EXP 	feedback_text_component: height = 0.05
91.9323 	EXP 	feedback_text_component: text = 'درست'
91.9323 	EXP 	feedback_text_component: autoDraw = True
92.9489 	EXP 	feedback_text_component: autoDraw = False
92.9489 	EXP 	plus_image: autoDraw = True
93.9368 	EXP 	New trial (rep=1, index=5): OrderedDict([('cue_image', 'images/circle'), ('image_text', 'right'), ('stop_voice_flag', 0), ('corr_resp', 'right')])
93.9378 	WARNING 	Requested image 'images/circle' not found but similar filename 'images/circle.png' exists. This will be used instead but changing the filename is advised.
93.9802 	EXP 	plus_image: autoDraw = False
93.9802 	EXP 	image: image = 'images/circle'
93.9802 	EXP 	text: height = 0.05
93.9802 	EXP 	text: height = 0.05
93.9802 	EXP 	text: height = 0.05
93.9802 	EXP 	text: text = 'راست'
93.9802 	EXP 	image: autoDraw = True
93.9802 	EXP 	text: autoDraw = True
94.5490 	DATA 	Keypress: right
94.5581 	EXP 	image: autoDraw = False
94.5581 	EXP 	text: autoDraw = False
94.5581 	EXP 	feedback_text_component: foreColor = 'green'
94.5581 	EXP 	feedback_text_component: height = 0.05
94.5581 	EXP 	feedback_text_component: height = 0.05
94.5581 	EXP 	feedback_text_component: height = 0.05
94.5581 	EXP 	feedback_text_component: text = 'درست'
94.5581 	EXP 	feedback_text_component: autoDraw = True
95.5492 	EXP 	feedback_text_component: autoDraw = False
95.5492 	EXP 	plus_image: autoDraw = True
96.5487 	EXP 	New trial (rep=1, index=6): OrderedDict([('cue_image', 'images/square'), ('image_text', 'No'), ('stop_voice_flag', 1), ('corr_resp', 'None')])
96.5493 	WARNING 	Requested image 'images/square' not found but similar filename 'images/square.png' exists. This will be used instead but changing the filename is advised.
96.5924 	EXP 	plus_image: autoDraw = False
96.5924 	EXP 	image: image = 'images/square'
96.5924 	EXP 	text: height = 0.05
96.5924 	EXP 	text: height = 0.05
96.5924 	EXP 	text: height = 0.05
96.5924 	EXP 	text: text = 'هیچ'
96.5924 	EXP 	image: autoDraw = True
96.5924 	EXP 	text: autoDraw = True
97.2993 	DATA 	Keypress: left
97.3069 	EXP 	image: autoDraw = False
97.3069 	EXP 	text: autoDraw = False
97.3069 	EXP 	feedback_text_component: foreColor = 'red'
97.3069 	EXP 	feedback_text_component: height = 0.05
97.3069 	EXP 	feedback_text_component: height = 0.05
97.3069 	EXP 	feedback_text_component: height = 0.05
97.3069 	EXP 	feedback_text_component: text = 'نادرست'
97.3069 	EXP 	feedback_text_component: autoDraw = True
98.3129 	EXP 	feedback_text_component: autoDraw = False
98.3129 	EXP 	plus_image: autoDraw = True
99.3143 	EXP 	New trial (rep=1, index=7): OrderedDict([('cue_image', 'images/circle'), ('image_text', 'right'), ('stop_voice_flag', 0), ('corr_resp', 'right')])
99.3153 	WARNING 	Requested image 'images/circle' not found but similar filename 'images/circle.png' exists. This will be used instead but changing the filename is advised.
99.3517 	EXP 	plus_image: autoDraw = False
99.3517 	EXP 	image: image = 'images/circle'
99.3517 	EXP 	text: height = 0.05
99.3517 	EXP 	text: height = 0.05
99.3517 	EXP 	text: height = 0.05
99.3517 	EXP 	text: text = 'راست'
99.3517 	EXP 	image: autoDraw = True
99.3517 	EXP 	text: autoDraw = True
100.0942 	DATA 	Keypress: right
100.1015 	EXP 	image: autoDraw = False
100.1015 	EXP 	text: autoDraw = False
100.1015 	EXP 	feedback_text_component: foreColor = 'green'
100.1015 	EXP 	feedback_text_component: height = 0.05
100.1015 	EXP 	feedback_text_component: height = 0.05
100.1015 	EXP 	feedback_text_component: height = 0.05
100.1015 	EXP 	feedback_text_component: text = 'درست'
100.1015 	EXP 	feedback_text_component: autoDraw = True
101.0944 	EXP 	feedback_text_component: autoDraw = False
101.0944 	EXP 	plus_image: autoDraw = True
102.0931 	EXP 	New trial (rep=2, index=0): OrderedDict([('cue_image', 'images/square'), ('image_text', 'left'), ('stop_voice_flag', 0), ('corr_resp', 'left')])
102.0936 	WARNING 	Requested image 'images/square' not found but similar filename 'images/square.png' exists. This will be used instead but changing the filename is advised.
102.1326 	EXP 	plus_image: autoDraw = False
102.1326 	EXP 	image: image = 'images/square'
102.1326 	EXP 	text: height = 0.05
102.1326 	EXP 	text: height = 0.05
102.1326 	EXP 	text: height = 0.05
102.1326 	EXP 	text: text = 'چپ'
102.1326 	EXP 	image: autoDraw = True
102.1326 	EXP 	text: autoDraw = True
102.7867 	DATA 	Keypress: left
102.7937 	EXP 	image: autoDraw = False
102.7937 	EXP 	text: autoDraw = False
102.7937 	EXP 	feedback_text_component: foreColor = 'green'
102.7937 	EXP 	feedback_text_component: height = 0.05
102.7937 	EXP 	feedback_text_component: height = 0.05
102.7937 	EXP 	feedback_text_component: height = 0.05
102.7937 	EXP 	feedback_text_component: text = 'درست'
102.7937 	EXP 	feedback_text_component: autoDraw = True
103.8080 	EXP 	feedback_text_component: autoDraw = False
103.8080 	EXP 	plus_image: autoDraw = True
104.7917 	EXP 	New trial (rep=2, index=1): OrderedDict([('cue_image', 'images/circle'), ('image_text', 'right'), ('stop_voice_flag', 0), ('corr_resp', 'right')])
104.7922 	WARNING 	Requested image 'images/circle' not found but similar filename 'images/circle.png' exists. This will be used instead but changing the filename is advised.
104.8303 	EXP 	plus_image: autoDraw = False
104.8303 	EXP 	image: image = 'images/circle'
104.8303 	EXP 	text: height = 0.05
104.8303 	EXP 	text: height = 0.05
104.8303 	EXP 	text: height = 0.05
