53.4241 	EXP 	plus_image: autoDraw = False
53.4241 	EXP 	image: image = 'images/circle'
53.4241 	EXP 	text: height = 0.05
53.4241 	EXP 	text: height = 0.05
53.4241 	EXP 	text: height = 0.05
53.4241 	EXP 	text: text = 'راست'
53.4241 	EXP 	image: autoDraw = True
53.4241 	EXP 	text: autoDraw = True
54.2856 	DATA 	Keypress: left
54.3336 	EXP 	image: autoDraw = False
54.3336 	EXP 	text: autoDraw = False
54.3336 	EXP 	feedback_text_component: foreColor = 'red'
54.3336 	EXP 	feedback_text_component: height = 0.05
54.3336 	EXP 	feedback_text_component: height = 0.05
54.3336 	EXP 	feedback_text_component: height = 0.05
54.3336 	EXP 	feedback_text_component: text = 'نادرست'
54.3336 	EXP 	feedback_text_component: autoDraw = True
55.3217 	EXP 	feedback_text_component: autoDraw = False
55.3217 	EXP 	plus_image: autoDraw = True
56.3238 	EXP 	New trial (rep=0, index=4): OrderedDict([('cue_image', 'images/circle'), ('image_text', 'No'), ('stop_voice_flag', 1), ('corr_resp', 'None')])
56.3245 	WARNING 	Requested image 'images/circle' not found but similar filename 'images/circle.png' exists. This will be used instead but changing the filename is advised.
56.3637 	EXP 	plus_image: autoDraw = False
56.3637 	EXP 	image: image = 'images/circle'
56.3637 	EXP 	text: height = 0.05
56.3637 	EXP 	text: height = 0.05
56.3637 	EXP 	text: height = 0.05
56.3637 	EXP 	text: text = 'هیچ'
56.3637 	EXP 	image: autoDraw = True
56.3637 	EXP 	text: autoDraw = True
57.3769 	EXP 	image: autoDraw = False
57.3769 	EXP 	text: autoDraw = False
58.3840 	EXP 	image: autoDraw = False
58.3840 	EXP 	text: autoDraw = False
58.3840 	EXP 	feedback_text_component: foreColor = 'green'
58.3840 	EXP 	feedback_text_component: height = 0.05
58.3840 	EXP 	feedback_text_component: height = 0.05
58.3840 	EXP 	feedback_text_component: height = 0.05
58.3840 	EXP 	feedback_text_component: text = 'درست'
58.3840 	EXP 	feedback_text_component: autoDraw = True
59.3830 	EXP 	feedback_text_component: autoDraw = False
59.3830 	EXP 	plus_image: autoDraw = True
60.3734 	EXP 	New trial (rep=0, index=5): OrderedDict([('cue_image', 'images/square'), ('image_text', 'left'), ('stop_voice_flag', 0), ('corr_resp', 'left')])
60.3747 	WARNING 	Requested image 'images/square' not found but similar filename 'images/square.png' exists. This will be used instead but changing the filename is advised.
60.4187 	EXP 	plus_image: autoDraw = False
60.4187 	EXP 	image: image = 'images/square'
60.4187 	EXP 	text: height = 0.05
60.4187 	EXP 	text: height = 0.05
60.4187 	EXP 	text: height = 0.05
60.4187 	EXP 	text: text = 'چپ'
60.4187 	EXP 	image: autoDraw = True
60.4187 	EXP 	text: autoDraw = True
61.2950 	DATA 	Keypress: left
61.3026 	EXP 	image: autoDraw = False
61.3026 	EXP 	text: autoDraw = False
61.3026 	EXP 	feedback_text_component: foreColor = 'green'
61.3026 	EXP 	feedback_text_component: height = 0.05
61.3026 	EXP 	feedback_text_component: height = 0.05
61.3026 	EXP 	feedback_text_component: height = 0.05
61.3026 	EXP 	feedback_text_component: text = 'درست'
61.3026 	EXP 	feedback_text_component: autoDraw = True
62.3011 	EXP 	feedback_text_component: autoDraw = False
62.3011 	EXP 	plus_image: autoDraw = True
63.3015 	EXP 	New trial (rep=0, index=6): OrderedDict([('cue_image', 'images/square'), ('image_text', 'left'), ('stop_voice_flag', 0), ('corr_resp', 'left')])
63.3021 	WARNING 	Requested image 'images/square' not found but similar filename 'images/square.png' exists. This will be used instead but changing the filename is advised.
63.3437 	EXP 	plus_image: autoDraw = False
63.3437 	EXP 	image: image = 'images/square'
63.3437 	EXP 	text: height = 0.05
63.3437 	EXP 	text: height = 0.05
63.3437 	EXP 	text: height = 0.05
63.3437 	EXP 	text: text = 'چپ'
63.3437 	EXP 	image: autoDraw = True
63.3437 	EXP 	text: autoDraw = True
64.3506 	EXP 	image: autoDraw = False
64.3506 	EXP 	text: autoDraw = False
65.3774 	EXP 	image: autoDraw = False
65.3774 	EXP 	text: autoDraw = False
65.3774 	EXP 	feedback_text_component: foreColor = 'red'
65.3774 	EXP 	feedback_text_component: height = 0.05
65.3774 	EXP 	feedback_text_component: height = 0.05
65.3774 	EXP 	feedback_text_component: height = 0.05
65.3774 	EXP 	feedback_text_component: text = 'نادرست'
65.3774 	EXP 	feedback_text_component: autoDraw = True
66.3845 	EXP 	feedback_text_component: autoDraw = False
66.3845 	EXP 	plus_image: autoDraw = True
67.3832 	EXP 	New trial (rep=0, index=7): OrderedDict([('cue_image', 'images/square'), ('image_text', 'left'), ('stop_voice_flag', 0), ('corr_resp', 'left')])
67.3843 	WARNING 	Requested image 'images/square' not found but similar filename 'images/square.png' exists. This will be used instead but changing the filename is advised.
67.4304 	EXP 	plus_image: autoDraw = False
67.4304 	EXP 	image: image = 'images/square'
67.4304 	EXP 	text: height = 0.05
67.4304 	EXP 	text: height = 0.05
67.4304 	EXP 	text: height = 0.05
67.4304 	EXP 	text: text = 'چپ'
67.4304 	EXP 	image: autoDraw = True
67.4304 	EXP 	text: autoDraw = True
68.4296 	EXP 	image: autoDraw = False
68.4296 	EXP 	text: autoDraw = False
69.4628 	EXP 	image: autoDraw = False
69.4628 	EXP 	text: autoDraw = False
69.4628 	EXP 	feedback_text_component: foreColor = 'red'
69.4628 	EXP 	feedback_text_component: height = 0.05
69.4628 	EXP 	feedback_text_component: height = 0.05
69.4628 	EXP 	feedback_text_component: height = 0.05
69.4628 	EXP 	feedback_text_component: text = 'نادرست'
69.4628 	EXP 	feedback_text_component: autoDraw = True
70.4606 	EXP 	feedback_text_component: autoDraw = False
70.4606 	EXP 	plus_image: autoDraw = True
71.4458 	EXP 	New trial (rep=1, index=0): OrderedDict([('cue_image', 'images/circle'), ('image_text', 'right'), ('stop_voice_flag', 0), ('corr_resp', 'right')])
71.4493 	WARNING 	Requested image 'images/circle' not found but similar filename 'images/circle.png' exists. This will be used instead but changing the filename is advised.
71.5071 	EXP 	plus_image: autoDraw = False
71.5071 	EXP 	image: image = 'images/circle'
71.5071 	EXP 	text: height = 0.05
71.5071 	EXP 	text: height = 0.05
71.5071 	EXP 	text: height = 0.05
71.5071 	EXP 	text: text = 'راست'
71.5071 	EXP 	image: autoDraw = True
71.5071 	EXP 	text: autoDraw = True
72.5239 	EXP 	image: autoDraw = False
72.5239 	EXP 	text: autoDraw = False
73.5332 	EXP 	image: autoDraw = False
73.5332 	EXP 	text: autoDraw = False
73.5332 	EXP 	feedback_text_component: foreColor = 'red'
73.5332 	EXP 	feedback_text_component: height = 0.05
73.5332 	EXP 	feedback_text_component: height = 0.05
73.5332 	EXP 	feedback_text_component: height = 0.05
73.5332 	EXP 	feedback_text_component: text = 'نادرست'
73.5332 	EXP 	feedback_text_component: autoDraw = True
74.5390 	EXP 	feedback_text_component: autoDraw = False
74.5390 	EXP 	plus_image: autoDraw = True
75.5407 	EXP 	New trial (rep=1, index=1): OrderedDict([('cue_image', 'images/circle'), ('image_text', 'No'), ('stop_voice_flag', 1), ('corr_resp', 'None')])
75.5415 	WARNING 	Requested image 'images/circle' not found but similar filename 'images/circle.png' exists. This will be used instead but changing the filename is advised.
75.5914 	EXP 	plus_image: autoDraw = False
75.5914 	EXP 	image: image = 'images/circle'
75.5914 	EXP 	text: height = 0.05
75.5914 	EXP 	text: height = 0.05
75.5914 	EXP 	text: height = 0.05
75.5914 	EXP 	text: text = 'هیچ'
75.5914 	EXP 	image: autoDraw = True
75.5914 	EXP 	text: autoDraw = True
76.5879 	EXP 	image: autoDraw = False
76.5879 	EXP 	text: autoDraw = False
77.6276 	EXP 	image: autoDraw = False
77.6276 	EXP 	text: autoDraw = False
77.6276 	EXP 	feedback_text_component: foreColor = 'green'
77.6276 	EXP 	feedback_text_component: height = 0.05
77.6276 	EXP 	feedback_text_component: height = 0.05
77.6276 	EXP 	feedback_text_component: height = 0.05
77.6276 	EXP 	feedback_text_component: text = 'درست'
77.6276 	EXP 	feedback_text_component: autoDraw = True
78.6330 	EXP 	feedback_text_component: autoDraw = False
78.6330 	EXP 	plus_image: autoDraw = True
79.6202 	EXP 	New trial (rep=1, index=2): OrderedDict([('cue_image', 'images/square'), ('image_text', 'left'), ('stop_voice_flag', 0), ('corr_resp', 'left')])
79.6211 	WARNING 	Requested image 'images/square' not found but similar filename 'images/square.png' exists. This will be used instead but changing the filename is advised.
79.6665 	EXP 	plus_image: autoDraw = False
79.6665 	EXP 	image: image = 'images/square'
79.6665 	EXP 	text: height = 0.05
79.6665 	EXP 	text: height = 0.05
79.6665 	EXP 	text: height = 0.05
79.6665 	EXP 	text: text = 'چپ'
79.6665 	EXP 	image: autoDraw = True
79.6665 	EXP 	text: autoDraw = True
80.6674 	EXP 	image: autoDraw = False
80.6674 	EXP 	text: autoDraw = False
81.6922 	EXP 	image: autoDraw = False
81.6922 	EXP 	text: autoDraw = False
81.6922 	EXP 	feedback_text_component: foreColor = 'red'
81.6922 	EXP 	feedback_text_component: height = 0.05
81.6922 	EXP 	feedback_text_component: height = 0.05
